latitude,longitude
2806.6033N,8242.9978W
2806.6039N,8242.9972W
2806.6045N,8242.9967W
2806.605N,8242.9963W
2806.6055N,8242.9959W
2806.6061N,8242.9953W
2806.6067N,8242.9948W
2806.6073N,8242.9943W
2806.6079N,8242.9938W
2806.6086N,8242.9932W
2806.6092N,8242.9927W
2806.6118N,8242.9902W
2806.6127N,8242.9894W
2806.613N,8242.9891W
2806.6133N,8242.9889W
2806.6135N,8242.9886W
2806.6138N,8242.9885W
2806.614N,8242.9883W
2806.6141N,8242.9883W
2806.6142N,8242.9882W
2806.6143N,8242.9882W
2806.6143N,8242.9882W
2806.6144N,8242.9881W
2806.6145N,8242.9881W
2806.6146N,8242.9881W
2806.6146N,8242.988W
2806.6147N,8242.988W
2806.6148N,8242.988W
2806.6151N,8242.9877W
2806.6154N,8242.9874W
2806.6156N,8242.9872W
2806.6157N,8242.9871W
2806.6158N,8242.9871W
2806.6158N,8242.9871W
2806.6158N,8242.9871W
2806.6158N,8242.9872W
2806.6158N,8242.9873W
2806.6157N,8242.9873W
2806.6157N,8242.9874W
2806.6157N,8242.9875W
2806.6158N,8242.9874W
2806.6159N,8242.9874W
2806.616N,8242.9874W
2806.616N,8242.9874W
2806.616N,8242.9873W
2806.6161N,8242.9873W
2806.6162N,8242.9872W
2806.6164N,8242.9871W
2806.6165N,8242.9869W
2806.6166N,8242.9868W
2806.6167N,8242.9868W
2806.6168N,8242.9867W
2806.6169N,8242.9865W
2806.6169N,8242.9865W
2806.6169N,8242.9865W
2806.6169N,8242.9866W
2806.6169N,8242.9866W
2806.6169N,8242.9866W
2806.6169N,8242.9866W
2806.6169N,8242.9866W
2806.6169N,8242.9867W
2806.6169N,8242.9867W
2806.6169N,8242.9867W
2806.6169N,8242.9867W
2806.6168N,8242.9868W
2806.6168N,8242.9869W
2806.6168N,8242.9869W
2806.6168N,8242.9868W
2806.6168N,8242.9868W
2806.6167N,8242.9869W
2806.6167N,8242.9869W
2806.6167N,8242.9869W
2806.6167N,8242.9869W
2806.6167N,8242.9869W
2806.6167N,8242.9869W
2806.6167N,8242.9869W
2806.6168N,8242.9869W
2806.6168N,8242.9869W
2806.6168N,8242.9869W
2806.6168N,8242.9869W
