Date,Time,Latitude,N/S,Longitude,E/W,Alt,Knots,m/s,Time,Distance,Velocity Regime (0.25m/s) (EMA smoothed),Miles Per Hour,MPH Regime,Acceleration,
231214,215226.2,2806.6033,N,8242.9978,W,31.7,1.92,0.99,0.00,0.00,0,0,0,0,
231214,215226.4,2806.6039,N,8242.9972,W,31.2,1.54,0.79,0.20,0.00,0,0,0,0,
231214,215226.6,2806.6045,N,8242.9967,W,30.7,1.06,0.55,0.20,0.00,0,0,0,0,
231214,215226.8,2806.605,N,8242.9963,W,30.5,0.86,0.44,0.20,0.00,0,0,0,0,
231214,215227,2806.6055,N,8242.9959,W,30.3,0.82,0.42,0.20,0.00,0,0,0,0,
231214,215227.2,2806.6061,N,8242.9953,W,29.8,0.84,0.43,0.20,0.07,0.35,0.77,0.75,0.35,
231214,215227.4,2806.6067,N,8242.9948,W,29.5,0.79,0.41,0.20,0.15,0.39,0.88,0.75,0.39,
231214,215227.6,2806.6073,N,8242.9943,W,29.2,0.7,0.36,0.20,0.22,0.37,0.82,0.75,0.37,
231214,215227.8,2806.6079,N,8242.9938,W,28.8,0.66,0.34,0.20,0.29,0.34,0.77,0.75,0.34,
231214,215228,2806.6086,N,8242.9932,W,28.3,0.6,0.31,0.20,0.35,0.32,0.71,0.50,0.32,
231214,215228.2,2806.6092,N,8242.9927,W,27.9,0.55,0.28,0.20,0.41,0.29,0.65,0.50,-0.06,
231214,215228.4,2806.6118,N,8242.9902,W,25.8,0.45,0.23,0.20,0.46,0.24,0.54,0.50,-0.15,
231214,215228.6,2806.6127,N,8242.9894,W,25,0.37,0.19,0.20,0.50,0.20,0.45,0.25,-0.17,
231214,215228.8,2806.613,N,8242.9891,W,25,0.32,0.16,0.20,0.53,0.17,0.38,0.25,-0.17,
231214,215229,2806.6133,N,8242.9889,W,24.9,0.28,0.14,0.20,0.56,0.15,0.33,0.25,-0.17,
231214,215229.2,2806.6135,N,8242.9886,W,24.7,0.25,0.13,0.20,0.59,0.13,0.30,0.25,-0.16,
231214,215229.4,2806.6138,N,8242.9885,W,24.6,0.24,0.12,0.20,0.62,0.13,0.28,0.25,-0.12,
231214,215229.6,2806.614,N,8242.9883,W,24.5,0.24,0.12,0.20,0.64,0.12,0.28,0.25,-0.08,
231214,215229.8,2806.6141,N,8242.9883,W,24.6,0.26,0.13,0.20,0.67,0.13,0.29,0.25,-0.04,
231214,215230,2806.6142,N,8242.9882,W,24.6,0.28,0.14,0.20,0.70,0.14,0.32,0.25,-0.01,
231214,215230.2,2806.6143,N,8242.9882,W,24.7,0.3,0.15,0.20,0.73,0.15,0.34,0.25,0.02,
231214,215230.4,2806.6143,N,8242.9882,W,24.7,0.3,0.15,0.20,0.76,0.15,0.34,0.25,0.03,
231214,215230.6,2806.6144,N,8242.9881,W,24.7,0.29,0.15,0.20,0.79,0.15,0.34,0.25,0.03,
231214,215230.8,2806.6145,N,8242.9881,W,24.8,0.3,0.15,0.20,0.82,0.15,0.34,0.25,0.02,
231214,215231,2806.6146,N,8242.9881,W,24.8,0.3,0.15,0.20,0.85,0.15,0.34,0.25,0.01,
231214,215231.2,2806.6146,N,8242.988,W,24.9,0.31,0.16,0.20,0.88,0.16,0.35,0.25,0.01,
231214,215231.4,2806.6147,N,8242.988,W,24.9,0.32,0.16,0.20,0.91,0.16,0.37,0.25,0.01,
231214,215231.6,2806.6148,N,8242.988,W,25,0.33,0.17,0.20,0.95,0.17,0.38,0.25,0.02,
231214,215231.8,2806.6151,N,8242.9877,W,24.8,0.35,0.18,0.20,0.98,0.18,0.40,0.25,0.02,
