Time,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
100,9112,12576,-2944,-8309,-28660,32767,-19969,3328,-7169
200,9792,-1316,-10968,-14914,20926,6504,-15873,2304,-6145
300,12992,-16,7268,11484,-5369,9148,-12289,-2049,-4609
400,15244,-3800,-1120,-4498,9384,-1371,-10497,-3329,-1793
500,13808,-2512,-3168,2081,-465,-1032,-9985,-2305,-4353
600,16116,-2036,-3652,5545,-5596,2410,-7425,-2305,-4353
700,14492,-796,-2848,961,-534,-1767,-8705,-2049,-4097
800,15584,-1540,-1156,183,700,1232,-8705,-2049,-3073
900,16452,-1436,792,-449,2345,-1217,-9985,-3329,-3329
1000,13492,-4552,1908,6290,-2119,-8086,-8961,-3841,-2305
1100,17004,-404,944,-4185,3761,-1213,-9985,-3841,-1281
1200,17548,-668,676,6138,-5927,-1056,-10241,-4097,-4609
1300,16888,-1104,-1728,1571,-5615,6711,-8961,-1281,-5377
1400,17316,-2912,-2112,479,963,2307,-7681,-1537,-4609
1500,15504,-3208,-1964,148,-197,-553,-8705,-3585,-4097
1600,18872,-944,-2408,258,2926,1237,-7681,-2561,-4609
1700,16252,-3296,-1320,489,921,-876,-6913,-2817,-3329
1800,15872,-2040,1216,-1040,4638,-554,-7937,-3841,-2817
1900,16032,48,-308,4032,-9675,171,-6913,-3329,-4353
2000,15632,-3652,-1608,-2017,1674,-1395,-8193,-2049,-5121
2100,13188,-5356,2264,-1098,890,-248,-8705,-2561,-3585
2200,16252,-3024,-1768,3311,-2326,-118,-6145,-1025,-5633
2300,16012,-1752,-1348,1390,192,-884,-6913,-1793,-5889
2400,15388,-2064,-1676,774,357,-567,-6145,-2049,-6145
2500,16280,-2596,-1208,1232,659,-689,-5377,-4865,-3841
2600,15216,-2980,-2004,2172,462,28,-5633,-2049,-3585
2700,15756,-2724,-1156,-997,1189,776,-4609,-2561,-4097
2800,15832,-2512,-1508,-16,-841,464,-4353,-2817,-2305
