Latitude,Longitude
2806.6037N,8242.9879W
2806.6032N,8242.988W
2806.6032N,8242.988W
2806.6029N,8242.9882W
2806.6028N,8242.9882W
2806.6028N,8242.9885W
2806.6029N,8242.9885W
2806.603N,8242.9885W
2806.6031N,8242.9885W
2806.6031N,8242.9885W
2806.6031N,8242.9884W
2806.6031N,8242.9884W
2806.6032N,8242.9884W
2806.6032N,8242.9883W
2806.6032N,8242.9883W
2806.6032N,8242.9883W
2806.6032N,8242.9883W
2806.6032N,8242.9883W
2806.6032N,8242.9883W
2806.6032N,8242.9883W
2806.6031N,8242.9883W
2806.6031N,8242.9883W
2806.603N,8242.9883W
2806.603N,8242.9883W
2806.603N,8242.9884W
2806.6029N,8242.9884W
2806.6028N,8242.9884W
2806.6028N,8242.9884W
2806.6027N,8242.9884W
2806.6027N,8242.9884W
2806.6026N,8242.9884W
2806.6025N,8242.9884W
2806.6025N,8242.9884W
2806.6024N,8242.9885W
2806.6023N,8242.9885W
2806.6022N,8242.9885W
2806.6022N,8242.9885W
2806.6021N,8242.9885W
2806.602N,8242.9885W
2806.6018N,8242.9885W
2806.6017N,8242.9885W
2806.6016N,8242.9885W
2806.6015N,8242.9886W
2806.6015N,8242.9886W
2806.6015N,8242.9887W
2806.6015N,8242.9887W
2806.6016N,8242.9888W
2806.6016N,8242.9889W
2806.6016N,8242.989W
2806.6016N,8242.989W
2806.6016N,8242.9891W
2806.6016N,8242.9891W
2806.6016N,8242.9891W
2806.6016N,8242.9892W
2806.6016N,8242.9892W
2806.6016N,8242.9893W
2806.6016N,8242.9893W
2806.6016N,8242.9894W
2806.6016N,8242.9894W
2806.6016N,8242.9894W
2806.6017N,8242.9895W
2806.6017N,8242.9895W
2806.6017N,8242.9896W
2806.6018N,8242.9897W
2806.6018N,8242.9897W
2806.6019N,8242.9898W
2806.6019N,8242.9898W
2806.6019N,8242.9898W
2806.602N,8242.9899W
2806.6021N,8242.9899W
2806.6021N,8242.9899W
2806.6021N,8242.9899W
2806.6021N,8242.9899W
2806.6022N,8242.9899W
2806.6022N,8242.9899W
2806.6022N,8242.9899W
2806.6022N,8242.99W
2806.6022N,8242.99W
2806.6022N,8242.99W
2806.6022N,8242.99W
2806.6022N,8242.9901W
2806.6023N,8242.9901W
2806.6023N,8242.9901W
