Date,Time,Lat,NS,Lon,EW,Alt,Knots,m/s,dt,distance,,"latitude,longitude"
251214,174706.2,2806.6742,N,8242.8726,W,20.1,2.3,1.1832222221,0,0,,"2806.6742N,8242.8726W"
251214,174706.4,2806.6743,N,8242.8725,W,20.1,2.43,1.2500999999,0.2,0.25002,,"2806.6743N,8242.8725W"
251214,174706.6,2806.6744,N,8242.8727,W,21.1,2.44,1.2552444443,0.2,0.5010688888,,"2806.6744N,8242.8727W"
251214,174706.8,2806.6745,N,8242.8729,W,21.7,2.14,1.100911111,0.2,0.721251111,,"2806.6745N,8242.8729W"
251214,174707,2806.6746,N,8242.873,W,22.3,2.05,1.054611111,0.2,0.9321733332,,"2806.6746N,8242.873W"
251214,174707.2,2806.6746,N,8242.8733,W,23.7,2.11,1.0854777777,0.2,1.1492688888,,"2806.6746N,8242.8733W"
251214,174707.4,2806.6747,N,8242.8736,W,25.5,2.28,1.1729333332,0.2,1.3838555554,,"2806.6747N,8242.8736W"
251214,174707.6,2806.6747,N,8242.8738,W,26.9,2.48,1.2758222221,0.2,1.6390199999,,"2806.6747N,8242.8738W"
251214,174707.8,2806.6748,N,8242.8743,W,28.9,2.42,1.2449555554,0.2,1.8880111109,,"2806.6748N,8242.8743W"
251214,174708,2806.6749,N,8242.8746,W,30.6,2.55,1.3118333332,0.2,2.1503777776,,"2806.6749N,8242.8746W"
251214,174708.2,2806.675,N,8242.8749,W,31.8,2.57,1.3221222221,0.2,2.414802222,,"2806.675N,8242.8749W"
251214,174708.4,2806.6751,N,8242.8748,W,32.3,2.5,1.286111111,0.2,2.6720244442,,"2806.6751N,8242.8748W"
251214,174708.6,2806.6753,N,8242.8748,W,32.5,2.6,1.3375555554,0.2,2.9395355553,,"2806.6753N,8242.8748W"
251214,174708.8,2806.6754,N,8242.8749,W,33.2,2.62,1.3478444443,0.2,3.2091044441,,"2806.6754N,8242.8749W"
251214,174709,2806.6756,N,8242.8748,W,33.3,2.58,1.3272666666,0.2,3.4745577775,,"2806.6756N,8242.8748W"
251214,174709.2,2806.6757,N,8242.8749,W,33.9,2.6,1.3375555554,0.2,3.7420688886,,"2806.6757N,8242.8749W"
251214,174709.4,2806.6759,N,8242.8752,W,35.5,2.7,1.3889999999,0.2,4.0198688885,,"2806.6759N,8242.8752W"
251214,174709.6,2806.6761,N,8242.8751,W,35.4,2.76,1.4198666665,0.2,4.3038422218,,"2806.6761N,8242.8751W"
251214,174709.8,2806.6763,N,8242.8748,W,34.9,2.88,1.4815999999,0.2,4.6001622218,,"2806.6763N,8242.8748W"
251214,174710,2806.6764,N,8242.8744,W,33.9,2.86,1.471311111,0.2,4.894424444,,"2806.6764N,8242.8744W"
251214,174710.2,2806.6766,N,8242.8742,W,33.6,2.81,1.4455888888,0.2,5.1835422218,,"2806.6766N,8242.8742W"
251214,174710.4,2806.6767,N,8242.874,W,33.1,2.72,1.3992888888,0.2,5.4633999995,,"2806.6767N,8242.874W"
251214,174710.6,2806.6769,N,8242.8739,W,33,2.6,1.3375555554,0.2,5.7309111106,,"2806.6769N,8242.8739W"
251214,174710.8,2806.677,N,8242.8738,W,32.9,2.61,1.3426999999,0.2,5.9994511106,,"2806.677N,8242.8738W"
251214,174711,2806.6772,N,8242.8737,W,32.6,2.54,1.3066888888,0.2,6.2607888883,,"2806.6772N,8242.8737W"
251214,174711.2,2806.6774,N,8242.8733,W,31.9,2.7,1.3889999999,0.2,6.5385888883,,"2806.6774N,8242.8733W"
251214,174711.4,2806.6775,N,8242.8733,W,32.4,2.79,1.4352999999,0.2,6.8256488883,,"2806.6775N,8242.8733W"
251214,174711.6,2806.6776,N,8242.8734,W,33.4,2.58,1.3272666666,0.2,7.0911022216,,"2806.6776N,8242.8734W"
251214,174711.8,2806.6777,N,8242.8736,W,34.3,2.52,1.2963999999,0.2,7.3503822216,,"2806.6777N,8242.8736W"
251214,174712,2806.6778,N,8242.8738,W,35.5,2.6,1.3375555554,0.2,7.6178933327,,"2806.6778N,8242.8738W"
251214,174712.2,2806.6779,N,8242.8737,W,35.6,2.6,1.3375555554,0.2,7.8854044438,,"2806.6779N,8242.8737W"
251214,174712.4,2806.6781,N,8242.8739,W,36.5,2.62,1.3478444443,0.2,8.1549733326,,"2806.6781N,8242.8739W"
251214,174712.6,2806.6782,N,8242.8741,W,37.5,2.69,1.3838555554,0.2,8.4317444437,,"2806.6782N,8242.8741W"
251214,174712.8,2806.6783,N,8242.8742,W,38.2,2.9,1.4918888888,0.2,8.7301222214,,"2806.6783N,8242.8742W"
251214,174713,2806.6785,N,8242.8745,W,39.5,3.03,1.5587666665,0.2,9.0418755548,,"2806.6785N,8242.8745W"
251214,174713.2,2806.6786,N,8242.875,W,41.8,3.07,1.5793444443,0.2,9.3577444436,,"2806.6786N,8242.875W"
251214,174713.4,2806.6788,N,8242.8755,W,43.9,3.18,1.6359333332,0.2,9.6849311102,,"2806.6788N,8242.8755W"
251214,174713.6,2806.6789,N,8242.8756,W,44.8,3.21,1.6513666665,0.2,10.0152044436,,"2806.6789N,8242.8756W"
251214,174713.8,2806.679,N,8242.8759,W,46,2.99,1.5381888888,0.2,10.3228422213,,"2806.679N,8242.8759W"
251214,174714,2806.679,N,8242.876,W,46.6,2.99,1.5381888888,0.2,10.6304799991,,"2806.679N,8242.876W"
251214,174714.2,2806.6791,N,8242.8758,W,46.5,2.94,1.5124666665,0.2,10.9329733324,,"2806.6791N,8242.8758W"
251214,174714.4,2806.6792,N,8242.8757,W,46.7,2.92,1.5021777776,0.2,11.2334088879,,"2806.6792N,8242.8757W"
251214,174714.6,2806.6792,N,8242.8757,W,47.4,3,1.5433333332,0.2,11.5420755546,,"2806.6792N,8242.8757W"
251214,174714.8,2806.6793,N,8242.8758,W,47.9,2.66,1.3684222221,0.2,11.815759999,,"2806.6793N,8242.8758W"
251214,174715,2806.6793,N,8242.8758,W,48.1,2.35,1.2089444443,0.2,12.0575488878,,"2806.6793N,8242.8758W"
251214,174715.2,2806.6794,N,8242.8759,W,48.6,2.15,1.1060555555,0.2,12.2787599989,,"2806.6794N,8242.8759W"
251214,174715.4,2806.6795,N,8242.876,W,48.9,1.96,1.008311111,0.2,12.4804222211,,"2806.6795N,8242.876W"
251214,174715.6,2806.6796,N,8242.8761,W,49.1,1.94,0.9980222221,0.2,12.6800266656,,"2806.6796N,8242.8761W"
251214,174715.8,2806.6798,N,8242.8761,W,49.1,2.43,1.2500999999,0.2,12.9300466655,,"2806.6798N,8242.8761W"
251214,174716,2806.6799,N,8242.8761,W,49.1,2.56,1.3169777777,0.2,13.1934422211,,"2806.6799N,8242.8761W"
251214,174716.2,2806.68,N,8242.876,W,49.1,2.66,1.3684222221,0.2,13.4671266655,,"2806.68N,8242.876W"
251214,174716.4,2806.6801,N,8242.8759,W,49,2.57,1.3221222221,0.2,13.7315511099,,"2806.6801N,8242.8759W"
251214,174716.6,2806.6802,N,8242.8759,W,49.3,2.44,1.2552444443,0.2,13.9825999988,,"2806.6802N,8242.8759W"
251214,174716.8,2806.6802,N,8242.8759,W,49.6,2.04,1.0494666666,0.2,14.1924933321,,"2806.6802N,8242.8759W"
251214,174717,2806.6803,N,8242.8758,W,49.9,2.27,1.1677888888,0.2,14.4260511099,,"2806.6803N,8242.8758W"
251214,174717.2,2806.6803,N,8242.8758,W,50.3,2.38,1.2243777777,0.2,14.6709266654,,"2806.6803N,8242.8758W"
251214,174717.4,2806.6804,N,8242.8758,W,50.8,2.43,1.2500999999,0.2,14.9209466654,,"2806.6804N,8242.8758W"
251214,174717.6,2806.6804,N,8242.8758,W,51.2,2.58,1.3272666666,0.2,15.1863999987,,"2806.6804N,8242.8758W"
251214,174717.8,2806.6805,N,8242.8758,W,51.6,2.61,1.3426999999,0.2,15.4549399986,,"2806.6805N,8242.8758W"
251214,174718,2806.6806,N,8242.8757,W,51.9,2.81,1.4455888888,0.2,15.7440577764,,"2806.6806N,8242.8757W"
251214,174718.2,2806.6807,N,8242.8757,W,52.3,2.87,1.4764555554,0.2,16.0393488875,,"2806.6807N,8242.8757W"
251214,174718.4,2806.6807,N,8242.8756,W,52.7,2.97,1.5278999999,0.2,16.3449288875,,"2806.6807N,8242.8756W"
