latitude,longitude
2806.6742N,8242.8726W
2806.6743N,8242.8725W
2806.6744N,8242.8727W
2806.6745N,8242.8729W
2806.6746N,8242.873W
2806.6746N,8242.8733W
2806.6747N,8242.8736W
2806.6747N,8242.8738W
2806.6748N,8242.8743W
2806.6749N,8242.8746W
2806.675N,8242.8749W
2806.6751N,8242.8748W
2806.6753N,8242.8748W
2806.6754N,8242.8749W
2806.6756N,8242.8748W
2806.6757N,8242.8749W
2806.6759N,8242.8752W
2806.6761N,8242.8751W
2806.6763N,8242.8748W
2806.6764N,8242.8744W
2806.6766N,8242.8742W
2806.6767N,8242.874W
2806.6769N,8242.8739W
2806.677N,8242.8738W
2806.6772N,8242.8737W
2806.6774N,8242.8733W
2806.6775N,8242.8733W
2806.6776N,8242.8734W
2806.6777N,8242.8736W
2806.6778N,8242.8738W
2806.6779N,8242.8737W
2806.6781N,8242.8739W
2806.6782N,8242.8741W
2806.6783N,8242.8742W
2806.6785N,8242.8745W
2806.6786N,8242.875W
2806.6788N,8242.8755W
2806.6789N,8242.8756W
2806.679N,8242.8759W
2806.679N,8242.876W
2806.6791N,8242.8758W
2806.6792N,8242.8757W
2806.6792N,8242.8757W
2806.6793N,8242.8758W
2806.6793N,8242.8758W
2806.6794N,8242.8759W
2806.6795N,8242.876W
2806.6796N,8242.8761W
2806.6798N,8242.8761W
2806.6799N,8242.8761W
2806.68N,8242.876W
2806.6801N,8242.8759W
2806.6802N,8242.8759W
2806.6802N,8242.8759W
2806.6803N,8242.8758W
2806.6803N,8242.8758W
2806.6804N,8242.8758W
2806.6804N,8242.8758W
2806.6805N,8242.8758W
2806.6806N,8242.8757W
2806.6807N,8242.8757W
2806.6807N,8242.8756W
2806.6808N,8242.8755W
2806.6809N,8242.8753W
2806.681N,8242.8751W
2806.6811N,8242.8749W
2806.6812N,8242.8747W
2806.6813N,8242.8746W
2806.6813N,8242.8745W
2806.6814N,8242.8744W
2806.6815N,8242.8742W
2806.6816N,8242.8739W
2806.6816N,8242.8737W
2806.6817N,8242.8734W
2806.6818N,8242.8732W
2806.6819N,8242.873W
2806.682N,8242.8729W
2806.6822N,8242.8728W
2806.6823N,8242.8726W
2806.6824N,8242.8723W
2806.6826N,8242.872W
2806.6827N,8242.8717W
2806.6828N,8242.8714W
2806.6829N,8242.8712W
2806.6831N,8242.871W
2806.6832N,8242.8706W
2806.6832N,8242.8702W
2806.6833N,8242.8699W
2806.6834N,8242.8697W
2806.6835N,8242.8695W
2806.6836N,8242.8692W
2806.6837N,8242.8689W
2806.6838N,8242.8686W
2806.6839N,8242.8683W
2806.684N,8242.868W
2806.6841N,8242.8677W
2806.6842N,8242.8675W
2806.6843N,8242.8673W
2806.6844N,8242.8671W
2806.6844N,8242.867W
2806.6845N,8242.8668W
2806.6846N,8242.8666W
2806.6847N,8242.8664W
2806.6848N,8242.8662W
2806.6848N,8242.8659W
